Key: review/i_id_index/609, Time Difference: 0ms
Key: review/u_id_index/72, Time Difference: 0ms
Key: review/u_id_index/1242, Time Difference: 0ms
Key: review/u_id_index/1506, Time Difference: 0ms
Key: review/u_id_index/1300, Time Difference: 0ms
Key: review/u_id_index/1301, Time Difference: 0ms
Key: review/u_id_index/1302, Time Difference: 0ms
Key: review/u_id_index/1303, Time Difference: 0ms
Key: review/u_id_index/1304, Time Difference: 0ms
Key: review/u_id_index/1305, Time Difference: 0ms
Key: review/u_id_index/1306, Time Difference: 0ms
Key: review/u_id_index/1307, Time Difference: 0ms
Key: review/u_id_index/1308, Time Difference: 0ms
Key: review/u_id_index/1309, Time Difference: 0ms
Key: review/creation_date_index/2021-01-31, Time Difference: 0ms
Key: review/creation_date_index/2021-02-01, Time Difference: 0ms
Key: review/creation_date_index/2021-02-02, Time Difference: 0ms
Key: review/creation_date_index/2021-02-03, Time Difference: 0ms
Key: review/creation_date_index/2021-02-04, Time Difference: 0ms
Key: review/creation_date_index/2021-02-05, Time Difference: 0ms
Key: review/creation_date_index/2021-02-06, Time Difference: 0ms
Key: review/creation_date_index/2021-02-07, Time Difference: 0ms
Key: review/creation_date_index/2021-02-08, Time Difference: 0ms
Key: review/creation_date_index/2021-02-09, Time Difference: 0ms
Key: review/a_id_index/1197, Time Difference: 0ms
Key: review/i_id_index/628, Time Difference: 0ms
Key: review/a_id_index/661, Time Difference: 0ms
Key: review/i_id_index/786, Time Difference: 0ms
Key: review/u_id_index/283, Time Difference: 0ms
Key: review/u_id_index/728, Time Difference: 0ms
Key: review/u_id_index/393, Time Difference: 0ms
Key: review/i_id_index/865, Time Difference: 0ms
Key: trust/source_u_id_index/78, Time Difference: 0ms
Key: review/u_id_index/957, Time Difference: 0ms
Key: review/u_id_index/1426, Time Difference: 0ms
Key: review/u_id_index/882, Time Difference: 0ms
Key: review/i_id_index/316, Time Difference: 0ms
Key: trust/source_u_id_index/42, Time Difference: 0ms
Key: review/u_id_index/350, Time Difference: 0ms
Key: review/creation_date_index/2021-03-29, Time Difference: 0ms
Key: review/creation_date_index/2021-03-30, Time Difference: 0ms
Key: review/creation_date_index/2021-03-31, Time Difference: 0ms
Key: review/i_id_index/991, Time Difference: 0ms
Key: review/creation_date_index/2021-04-01, Time Difference: 0ms
Key: review/creation_date_index/2021-04-02, Time Difference: 0ms
Key: review/creation_date_index/2021-04-03, Time Difference: 0ms
Key: review/creation_date_index/2021-04-04, Time Difference: 0ms
Key: review/creation_date_index/2021-04-05, Time Difference: 0ms
Key: review/creation_date_index/2021-04-06, Time Difference: 0ms
Key: review/creation_date_index/2021-04-07, Time Difference: 0ms
Key: review/i_id_index/191, Time Difference: 1ms
Key: trust/source_u_id_index/740, Time Difference: 1ms
Key: review/i_id_index/466, Time Difference: 1ms
Key: review/a_id_index/620, Time Difference: 1ms
Key: review/i_id_index/704, Time Difference: 1ms
Key: review/i_id_index/231, Time Difference: 1ms
Key: review/i_id_index/958, Time Difference: 1ms
Key: review/u_id_index/1974, Time Difference: 1ms
Key: review/i_id_index/608, Time Difference: 1ms
Key: review/i_id_index/844, Time Difference: 1ms
Key: review/a_id_index/791, Time Difference: 1ms
Key: review/i_id_index/429, Time Difference: 1ms
Key: review/i_id_index/479, Time Difference: 1ms
Key: trust/source_u_id_index/875, Time Difference: 1ms
Key: review/u_id_index/490, Time Difference: 1ms
Key: review/a_id_index/364, Time Difference: 1ms
Key: review/i_id_index/685, Time Difference: 1ms
Key: review/creation_date_index/2020-01-09, Time Difference: 1ms
Key: review/creation_date_index/2020-01-10, Time Difference: 1ms
Key: review/creation_date_index/2020-01-11, Time Difference: 1ms
Key: review/creation_date_index/2020-01-12, Time Difference: 1ms
Key: review/creation_date_index/2020-01-13, Time Difference: 1ms
Key: review/creation_date_index/2020-01-14, Time Difference: 1ms
Key: review/creation_date_index/2020-01-15, Time Difference: 1ms
Key: review/creation_date_index/2020-01-16, Time Difference: 1ms
Key: review/creation_date_index/2020-01-17, Time Difference: 1ms
Key: review/creation_date_index/2020-01-18, Time Difference: 1ms
Key: review/creation_date_index/2020-01-18, Time Difference: 1ms
Key: review/creation_date_index/2020-01-19, Time Difference: 1ms
Key: review/creation_date_index/2020-01-20, Time Difference: 1ms
Key: review/creation_date_index/2020-01-21, Time Difference: 1ms
Key: review/creation_date_index/2020-01-22, Time Difference: 1ms
Key: review/creation_date_index/2020-01-23, Time Difference: 1ms
Key: review/creation_date_index/2020-01-24, Time Difference: 1ms
Key: review/creation_date_index/2020-01-25, Time Difference: 1ms
Key: review/creation_date_index/2020-01-26, Time Difference: 1ms
Key: review/creation_date_index/2020-01-27, Time Difference: 1ms
Key: review/u_id_index/946, Time Difference: 1ms
Key: review/u_id_index/947, Time Difference: 1ms
Key: review/u_id_index/948, Time Difference: 1ms
Key: review/u_id_index/949, Time Difference: 1ms
Key: review/u_id_index/950, Time Difference: 1ms
Key: review/u_id_index/951, Time Difference: 1ms
Key: review/u_id_index/952, Time Difference: 1ms
Key: review/u_id_index/953, Time Difference: 1ms
Key: review/u_id_index/954, Time Difference: 1ms
Key: review/u_id_index/955, Time Difference: 1ms
Key: review/u_id_index/1919, Time Difference: 1ms
Key: review/u_id_index/1920, Time Difference: 1ms
Key: review/u_id_index/1921, Time Difference: 1ms
Key: review/u_id_index/1922, Time Difference: 1ms
Key: review/u_id_index/1923, Time Difference: 1ms
Key: review/u_id_index/1924, Time Difference: 1ms
Key: review/u_id_index/1925, Time Difference: 1ms
Key: review/u_id_index/1926, Time Difference: 1ms
Key: review/u_id_index/1927, Time Difference: 1ms
Key: review/u_id_index/1928, Time Difference: 1ms
Key: review/u_id_index/178, Time Difference: 1ms
Key: review/i_id_index/286, Time Difference: 1ms
Key: review/i_id_index/387, Time Difference: 1ms
Key: review/i_id_index/626, Time Difference: 1ms
Key: review/i_id_index/982, Time Difference: 1ms
Key: review/i_id_index/150, Time Difference: 1ms
Key: review/i_id_index/317, Time Difference: 1ms
Key: review/i_id_index/669, Time Difference: 1ms
Key: review/i_id_index/507, Time Difference: 1ms
Key: review/i_id_index/562, Time Difference: 1ms
Key: trust/source_u_id_index/235, Time Difference: 1ms
Key: review/i_id_index/628, Time Difference: 1ms
Key: review/u_id_index/1530, Time Difference: 1ms
Key: review/u_id_index/92, Time Difference: 1ms
Key: review/creation_date_index/2021-06-15, Time Difference: 1ms
Key: review/creation_date_index/2021-06-16, Time Difference: 1ms
Key: review/creation_date_index/2021-06-17, Time Difference: 1ms
Key: review/creation_date_index/2021-06-18, Time Difference: 1ms
Key: review/creation_date_index/2021-06-19, Time Difference: 1ms
Key: review/creation_date_index/2021-06-20, Time Difference: 1ms
Key: review/creation_date_index/2021-06-21, Time Difference: 1ms
Key: review/creation_date_index/2021-06-22, Time Difference: 1ms
Key: review/creation_date_index/2021-06-23, Time Difference: 1ms
Key: review/creation_date_index/2021-06-24, Time Difference: 1ms
Key: review/i_id_index/338, Time Difference: 1ms
Key: review/i_id_index/705, Time Difference: 1ms
Key: trust/source_u_id_index/302, Time Difference: 1ms
Key: review/a_id_index/1185, Time Difference: 1ms
Key: review/i_id_index/533, Time Difference: 1ms
Key: review/i_id_index/325, Time Difference: 1ms
Key: trust/source_u_id_index/166, Time Difference: 1ms
Key: review/u_id_index/883, Time Difference: 1ms
Key: review/i_id_index/220, Time Difference: 1ms
Key: review/u_id_index/1899, Time Difference: 1ms
Key: review/i_id_index/56, Time Difference: 1ms
Key: trust/source_u_id_index/1103, Time Difference: 1ms
Key: review/i_id_index/879, Time Difference: 1ms
Key: review/i_id_index/419, Time Difference: 1ms
Key: review/i_id_index/252, Time Difference: 1ms
Key: review/a_id_index/535, Time Difference: 1ms
Key: review/i_id_index/757, Time Difference: 1ms
Key: review/i_id_index/783, Time Difference: 1ms
Key: trust/source_u_id_index/619, Time Difference: 1ms
Key: review/i_id_index/351, Time Difference: 1ms
Key: review/a_id_index/374, Time Difference: 1ms
Key: review/i_id_index/251, Time Difference: 1ms
Key: review/u_id_index/1913, Time Difference: 1ms
Key: review/u_id_index/956, Time Difference: 1ms
Key: review/u_id_index/957, Time Difference: 1ms
Key: review/u_id_index/958, Time Difference: 1ms
Key: review/u_id_index/959, Time Difference: 1ms
Key: review/u_id_index/960, Time Difference: 1ms
Key: review/u_id_index/961, Time Difference: 1ms
Key: review/u_id_index/962, Time Difference: 1ms
Key: review/u_id_index/963, Time Difference: 1ms
Key: review/u_id_index/964, Time Difference: 1ms
Key: review/u_id_index/965, Time Difference: 1ms
Key: review/i_id_index/507, Time Difference: 1ms
Key: review/i_id_index/459, Time Difference: 1ms
Key: review/u_id_index/230, Time Difference: 1ms
Key: review/i_id_index/162, Time Difference: 1ms
Key: review/i_id_index/662, Time Difference: 1ms
Key: trust/source_u_id_index/915, Time Difference: 1ms
Key: review/u_id_index/736, Time Difference: 1ms
Key: review/i_id_index/871, Time Difference: 1ms
Key: review/a_id_index/221, Time Difference: 1ms
Key: review/i_id_index/430, Time Difference: 2ms
Key: review/creation_date_index/2020-06-20, Time Difference: 2ms
Key: review/creation_date_index/2020-06-21, Time Difference: 2ms
Key: review/creation_date_index/2020-06-22, Time Difference: 2ms
Key: review/creation_date_index/2020-06-23, Time Difference: 2ms
Key: review/creation_date_index/2020-06-24, Time Difference: 2ms
Key: review/creation_date_index/2020-06-25, Time Difference: 2ms
Key: review/creation_date_index/2020-06-26, Time Difference: 2ms
Key: review/creation_date_index/2020-06-27, Time Difference: 2ms
Key: review/creation_date_index/2020-06-28, Time Difference: 2ms
Key: review/creation_date_index/2020-06-29, Time Difference: 2ms
Key: review/u_id_index/631, Time Difference: 2ms
Key: review/u_id_index/1971, Time Difference: 2ms
Key: review/u_id_index/1972, Time Difference: 2ms
Key: review/u_id_index/1973, Time Difference: 2ms
Key: review/u_id_index/1974, Time Difference: 2ms
Key: review/u_id_index/1975, Time Difference: 2ms
Key: review/u_id_index/1976, Time Difference: 2ms
Key: review/u_id_index/1977, Time Difference: 2ms
Key: review/u_id_index/1978, Time Difference: 2ms
Key: review/u_id_index/1979, Time Difference: 2ms
Key: review/u_id_index/1980, Time Difference: 2ms
Key: review/i_id_index/719, Time Difference: 2ms
Key: review/u_id_index/1414, Time Difference: 2ms
Key: review/i_id_index/42, Time Difference: 2ms
Key: review/a_id_index/24, Time Difference: 2ms
Key: review/i_id_index/159, Time Difference: 2ms
Key: review/i_id_index/521, Time Difference: 2ms
Key: trust/source_u_id_index/279, Time Difference: 2ms
Key: review/u_id_index/182, Time Difference: 2ms
Key: review/i_id_index/7, Time Difference: 2ms
Key: review/u_id_index/680, Time Difference: 2ms
Key: review/u_id_index/681, Time Difference: 2ms
Key: review/u_id_index/682, Time Difference: 2ms
Key: review/u_id_index/683, Time Difference: 2ms
Key: review/u_id_index/684, Time Difference: 2ms
Key: review/u_id_index/685, Time Difference: 2ms
